Code,Country,Study,Submission,Documents,Note,Date
AU,Australia,Pre-Market,Competent Authority,Instruction for sending part 2,This form must be sent to the Therapeutic Goods Administration within 28 days of commencing supply of the goods. Send to: The Medical Advisor Experimental Drugs Section Office of Scientific Evaluation Therapeutic Goods Administration PO Box 100 Woden ACT 2606 Australia,2022-07-15
AU,Australia,Post-Market,Competent Authority,The application Part 1,Download from web,2022-07-15
AU,Australia,Post-Market,Competent Authority,Application fee,https://www.tga.gov.au/fees-and-charges-summary-1-december-2021,2022-07-15
AU,Australia,Post-Market,Competent Authority,Sponsor statement,,2022-07-15
AU,Australia,Post-Market,Competent Authority,Section 3: Medical devices details,"description of the device; details of design, composition, specification, mode of action and application; and method of use.",2022-07-15
AU,Australia,Post-Market,Competent Authority,Instruction for sending part 1,The CTA application form can be emailed to us. Supporting data for the CTA application should be provided in electronic format. It is preferable for data to be sent on USB or CD-ROM via post.,2022-07-15
AU,Australia,Post-Market,Competent Authority,The application Part 2,Download from web,2022-07-15
AU,Australia,Post-Market,Competent Authority,1.5 Site sustainability,Completed by the sponsor,2022-07-15
AU,Australia,Post-Market,Competent Authority,1.6 Sponsor certification,Completed by the sponsor,2022-07-15
AU,Australia,Post-Market,Competent Authority,section 2,Completed by the sponsor,2022-07-15
AU,Australia,Post-Market,Competent Authority,Instruction for sending part 2,This form must be sent to the Therapeutic Goods Administration within 28 days of commencing supply of the goods. Send to: The Medical Advisor Experimental Drugs Section Office of Scientific Evaluation Therapeutic Goods Administration PO Box 100 Woden ACT 2606 Australia,2022-07-15
CN,China,Pre-Market,Competent Authority,CIP,Appendix 2 sfda regulation,2022-07-15
CN,China,Pre-Market,Competent Authority,Patient information and ICF,,2022-07-15
CN,China,Pre-Market,Competent Authority,Technical documents of the product,,2022-07-15
CN,China,Pre-Market,Competent Authority,Risk analysis,,2022-07-15
CN,China,Pre-Market,Competent Authority,GDPR,,2022-07-15
CN,China,Pre-Market,Competent Authority,"PI CV, GCP",,2022-07-15
CN,China,Post-Market,Competent Authority,CIP,Appendix 2 sfda regulation,2022-07-15
CN,China,Post-Market,Competent Authority,Patient information and ICF,,2022-07-15
CN,China,Post-Market,Competent Authority,Technical documents of the product,,2022-07-15
CN,China,Post-Market,Competent Authority,Risk analysis,,2022-07-15
CN,China,Post-Market,Competent Authority,GDPR,,2022-07-15
CN,China,Post-Market,Competent Authority,"PI CV, GCP",,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,Clinical trial protocol,,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,Patient information and ICF,,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,EC Approval,,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,IB,,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,Device information ,,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,"PI Cvs, GCPs",,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,Contract,,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,Proof of insurance,,2022-07-15
ID,Indonesia,Pre-Market,Competent Authority,IFU,,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,Clinical trial protocol,,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,Patient information and ICF,,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,EC Approval,,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,IB,,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,Device information ,,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,"PI Cvs, GCPs",,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,Contract,,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,Proof of insurance,,2022-07-15
ID,Indonesia,Post-Market,Competent Authority,IFU,,2022-07-15
IN,India,Pre-Market,Competent Authority,Cover Letter,"Indicate sponsor, PI",2022-07-15
IN,India,Pre-Market,Competent Authority,Authorization letter from Sponsor,,2022-07-15
IN,India,Pre-Market,Competent Authority,Application form,,2022-07-15
IN,India,Pre-Market,Competent Authority,CIP,,2022-07-15
IN,India,Pre-Market,Competent Authority,Synopsis,,2022-07-15
IN,India,Pre-Market,Competent Authority,IB,,2022-07-15
IN,India,Pre-Market,Competent Authority,Patient information And ICF,,2022-07-15
IN,India,Pre-Market,Competent Authority,Name of participating countries & their CA,For study outside India. Copy of CA approval if available,2022-07-15
IN,India,Pre-Market,Competent Authority,declaring that the study has not been discontinued in any country.,For study outside India,2022-07-15
IN,India,Pre-Market,Competent Authority,Other EC approval ,If applicable,2022-07-15
IN,India,Pre-Market,Competent Authority,GDPR,,2022-07-15
IN,India,Pre-Market,Competent Authority,CRF template,,2022-07-15
IN,India,Pre-Market,Competent Authority,"PI CV, GCP",,2022-07-15
IN,India,Pre-Market,Competent Authority,Proof of insurance,,2022-07-15
IN,India,Pre-Market,Competent Authority,Risk & benefits assessment,,2022-07-15
IN,India,Post-Market,Competent Authority,Cover Letter,"Indicate sponsor, PI",2022-07-15
IN,India,Post-Market,Competent Authority,Authorization letter from Sponsor,,2022-07-15
IN,India,Post-Market,Competent Authority,Application form,,2022-07-15
IN,India,Post-Market,Competent Authority,CIP,,2022-07-15
IN,India,Post-Market,Competent Authority,Synopsis,,2022-07-15
IN,India,Post-Market,Competent Authority,IB,,2022-07-15
IN,India,Post-Market,Competent Authority,Patient information And ICF,,2022-07-15
IN,India,Post-Market,Competent Authority,Name of participating countries & their CA,For study outside India. Copy of CA approval if available,2022-07-15
IN,India,Post-Market,Competent Authority,declaring that the study has not been discontinued in any country.,For study outside India,2022-07-15
IN,India,Post-Market,Competent Authority,Other EC approval ,If applicable,2022-07-15
IN,India,Post-Market,Competent Authority,GDPR,,2022-07-15
IN,India,Post-Market,Competent Authority,CRF template,,2022-07-15
IN,India,Post-Market,Competent Authority,"PI CV, GCP",,2022-07-15
IN,India,Post-Market,Competent Authority,Proof of insurance,,2022-07-15
IN,India,Post-Market,Competent Authority,Risk & benefits assessment,,2022-07-15
IN,India,Post-Market,Competent Authority,CE mark certificate,For PMCF,2022-07-15
IN,India,Post-Market,Competent Authority,"Summary of phase I, II, III",For PMCF,2022-07-15
JP,Japan,Pre-Market,Competent Authority,1.1 Standard business procedure manual,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"1.2 ""Procedures specific to the clinical trial""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"2.1 Clinical trial implementation system; 2.2 Medical specialists; 2.3 ""Clinical trial coordinator and
Clinical Trial Coordination Committee
(if it applies)""; 2.4 ""Development contract research organization, etc. (if it applies)""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,3.1 CIP,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,3.2 CRF,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,4.1 Clinical trial equipment summary,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,5.1 Patient information & ICF,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,5.2 Compensation (if applicable),,2022-07-15
JP,Japan,Pre-Market,Competent Authority,6. Notification documents,AE reports,2022-07-15
JP,Japan,Pre-Market,Competent Authority,7. Documents on compensation measures for health damage,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,8. Management of clinical trial equipment,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,9. Records regarding the Effectiveness and Safety Evaluation Committee (if applicable),,2022-07-15
JP,Japan,Pre-Market,Competent Authority,10 Data management,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,11 Statistical analysis,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,12. Summary report,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.1 Selection record,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.2 Resume of investigator, etc.",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.3 ""List of investigators and collaborators""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.4 Signature / Imprint List,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.5 Agreement document,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.6 Consent Explanatory Document,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.7 Clinical Trial Request Form,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.8 IRB Approval Document,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.9 Change application,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.10 Contract,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.11 ""Storage and management records of clinical trial equipment (copy)""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.12 ""Clinical Trial Equipment Delivery and Handling Record""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.13 Case report,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.14 ""Serious adverse events and",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"Report on bugs """,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.15 ""Record of deviation from clinical trial protocol""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.16 ""Safety Notice / Report Document""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.17 ""Clinical Trial Completion Notification Document from the Director of the Conducting Medical Institution""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,13.18 Monitoring Report,,2022-07-15
JP,Japan,Pre-Market,Competent Authority,"13.19 ""Records that guarantee quality control, etc. at inspection agencies (if applicable)""",,2022-07-15
JP,Japan,Pre-Market,Competent Authority,14. Audit plan ,,2022-07-15
JP,Japan,Post-Market,Competent Authority,1.1 Standard business procedure manual,,2022-07-15
JP,Japan,Post-Market,Competent Authority,"1.2 ""Procedures specific to the clinical trial""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,"2.1 Clinical trial implementation system; 2.2 Medical specialists; 2.3 ""Clinical trial coordinator and
Clinical Trial Coordination Committee
(if it applies)""; 2.4 ""Development contract research organization, etc. (if it applies)""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,3.1 CIP,,2022-07-15
JP,Japan,Post-Market,Competent Authority,3.2 CRF,,2022-07-15
JP,Japan,Post-Market,Competent Authority,4.1 Clinical trial equipment summary,,2022-07-15
JP,Japan,Post-Market,Competent Authority,5.1 Patient information & ICF,,2022-07-15
JP,Japan,Post-Market,Competent Authority,5.2 Compensation (if applicable),,2022-07-15
JP,Japan,Post-Market,Competent Authority,6. Notification documents,AE reports,2022-07-15
JP,Japan,Post-Market,Competent Authority,7. Documents on compensation measures for health damage,,2022-07-15
JP,Japan,Post-Market,Competent Authority,8. Management of clinical trial equipment,,2022-07-15
JP,Japan,Post-Market,Competent Authority,9. Records regarding the Effectiveness and Safety Evaluation Committee (if applicable),,2022-07-15
JP,Japan,Post-Market,Competent Authority,10 Data management,,2022-07-15
JP,Japan,Post-Market,Competent Authority,11 Statistical analysis,,2022-07-15
JP,Japan,Post-Market,Competent Authority,12. Summary report,,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.1 Selection record,,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.2 Resume of investigator, etc.",,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.3 ""List of investigators and collaborators""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.4 Signature / Imprint List,,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.5 Agreement document,,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.6 Consent Explanatory Document,,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.7 Clinical Trial Request Form,,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.8 IRB Approval Document,,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.9 Change application,,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.10 Contract,,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.11 ""Storage and management records of clinical trial equipment (copy)""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.12 ""Clinical Trial Equipment Delivery and Handling Record""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.13 Case report,,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.14 ""Serious adverse events and",,2022-07-15
JP,Japan,Post-Market,Competent Authority,"Report on bugs """,,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.15 ""Record of deviation from clinical trial protocol""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.16 ""Safety Notice / Report Document""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.17 ""Clinical Trial Completion Notification Document from the Director of the Conducting Medical Institution""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,13.18 Monitoring Report,,2022-07-15
JP,Japan,Post-Market,Competent Authority,"13.19 ""Records that guarantee quality control, etc. at inspection agencies (if applicable)""",,2022-07-15
JP,Japan,Post-Market,Competent Authority,14. Audit plan ,,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,Cover Letter,,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,CIP,,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,IB,,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,Patient information and ICF,,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,Information on the finance,Contracts,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,Compensation to subjects,If applicable,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,Proof of insurance,,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,EC Approval ,,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,"PI CV, GCP",,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,Normal lab ranges,If applicable,2022-07-15
KR,Republic of  Korea,Pre-Market,Competent Authority,Sample of labeling,,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,Cover Letter,,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,CIP,,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,IB,,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,Patient information and ICF,,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,Information on the finance,Contracts,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,Compensation to subjects,If applicable,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,Proof of insurance,,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,EC Approval ,,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,"PI CV, GCP",,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,Normal lab ranges,If applicable,2022-07-15
KR,Republic of  Korea,Post-Market,Competent Authority,Sample of labeling,,2022-07-15
MY,Malaysia,Pre-Market,Competent Authority,Application Form,From the guidance document,2022-07-15
MY,Malaysia,Pre-Market,Competent Authority,CIP ,,2022-07-15
MY,Malaysia,Pre-Market,Competent Authority,ICF ,,2022-07-15
MY,Malaysia,Pre-Market,Competent Authority,Sample of device packaging label,,2022-07-15
MY,Malaysia,Pre-Market,Competent Authority,EC approval Letter,,2022-07-15
MY,Malaysia,Post-Market,Competent Authority,Application Form,From the guidance document,2022-07-15
MY,Malaysia,Post-Market,Competent Authority,CIP ,,2022-07-15
MY,Malaysia,Post-Market,Competent Authority,ICF ,,2022-07-15
MY,Malaysia,Post-Market,Competent Authority,Sample of device packaging label,,2022-07-15
MY,Malaysia,Post-Market,Competent Authority,EC approval Letter,,2022-07-15
NZ,New Zealand,Pre-Market,Competent Authority,"PI Cvs, GCPs. All teams",,2022-07-15
NZ,New Zealand,Pre-Market,Competent Authority,GMP certification for manufacturer,,2022-07-15
NZ,New Zealand,Pre-Market,Competent Authority,Signed ICF,,2022-07-15
NZ,New Zealand,Pre-Market,Competent Authority,Protocols,Signed and Dated,2022-07-15
NZ,New Zealand,Pre-Market,Competent Authority,IB,,2022-07-15
NZ,New Zealand,Pre-Market,Competent Authority,Labelling sample,,2022-07-15
NZ,New Zealand,Post-Market,Competent Authority,"PI Cvs, GCPs. All teams",,2022-07-15
NZ,New Zealand,Post-Market,Competent Authority,GMP certification for manufacturer,,2022-07-15
NZ,New Zealand,Post-Market,Competent Authority,Signed ICF,,2022-07-15
NZ,New Zealand,Post-Market,Competent Authority,Protocols,Signed and Dated,2022-07-15
NZ,New Zealand,Post-Market,Competent Authority,IB,,2022-07-15
NZ,New Zealand,Post-Market,Competent Authority,Labelling sample,,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Application Form,Annex G or H of the document,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Proof of payment,,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Copy of Letter of authorization,,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,"A government - issued certificate attesting to the status of the Manufacturer with regard to the competence and reliability of the personnel and facilities,",,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Certificate of Product Registration,For imported product,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Colored picture of the device from all sides,,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Device description,All class of MD,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,CE marking ,(if applicable),2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Labelling example,All class of MD,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Executive summary,"Class B, C, D",2022-07-15
PH,Philippines,Pre-Market,Competent Authority,"Relevant essential principles and method/s used to demonstrate conformity,",If applicable. Annex K,2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Summary ofDesign Verification and Validation Documents:,"Class B, C, D",2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Risk analysis,"Class B, C, D",2022-07-15
PH,Philippines,Pre-Market,Competent Authority,Physical Manufacturer information,"Class B, C, D",2022-07-15
PH,Philippines,Post-Market,Competent Authority,Application Form,Annex G or H of the document,2022-07-15
PH,Philippines,Post-Market,Competent Authority,Proof of payment,,2022-07-15
PH,Philippines,Post-Market,Competent Authority,Copy of Letter of authorization,,2022-07-15
PH,Philippines,Post-Market,Competent Authority,"A government - issued certificate attesting to the status of the Manufacturer with regard to the competence and reliability of the personnel and facilities,",,2022-07-15
PH,Philippines,Post-Market,Competent Authority,Certificate of Product Registration,For imported product,2022-07-15
PH,Philippines,Post-Market,Competent Authority,Colored picture of the device from all sides,,2022-07-15
PH,Philippines,Post-Market,Competent Authority,Device description,All class of MD,2022-07-15
PH,Philippines,Post-Market,Competent Authority,CE marking ,(if applicable),2022-07-15
PH,Philippines,Post-Market,Competent Authority,Labelling example,All class of MD,2022-07-15
PH,Philippines,Post-Market,Competent Authority,Executive summary,"Class B, C, D",2022-07-15
PH,Philippines,Post-Market,Competent Authority,"Relevant essential principles and method/s used to demonstrate conformity,",If applicable. Annex K,2022-07-15
PH,Philippines,Post-Market,Competent Authority,Summary ofDesign Verification and Validation Documents:,"Class B, C, D",2022-07-15
PH,Philippines,Post-Market,Competent Authority,Risk analysis,"Class B, C, D",2022-07-15
PH,Philippines,Post-Market,Competent Authority,Physical Manufacturer information,"Class B, C, D",2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,Application form,See Annex (1-A)/(1-B),2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,Labelling of Medical device,Device is intended to be used exclusively for conducting the clinical trial.,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,rf,Signed & dated,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,Agreements between sponsor vs CRO,Signed & dated,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,Local EC approval letter,,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,CIP,Lastest version approved by EC,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,IB,Pre-market only,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,Patient information & ICF,In Arabic & English,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,Proof of insurance,Only for interventional study,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,PI CV & GCP,,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,Disclosure of Principal Investigator Conflict of Interests,Signed by the PI,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,Authorized representative (AR) licence,It is only required for sponsors located outside KSA.,2022-07-15
SA,Saudi Arabia,Pre-Market,Competent Authority,CRO establishment licence,If the CRO is contracted by sponsor,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Application form,See Annex (1-A)/(1-B),2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Labelling of Medical device,Device is intended to be used exclusively for conducting the clinical trial.,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Agreements between sponsor vs PI/site,Signed & dated,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Agreements between sponsor vs CRO,Signed & dated,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Local EC approval letter,,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,CIP,Lastest version approved by EC,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Patient information & ICF,In Arabic & English,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Proof of insurance,Only for interventional study,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,PI CV & GCP,,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Disclosure of Principal Investigator Conflict of Interests,Signed by the PI,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,Authorized representative (AR) licence,It is only required for sponsors located outside KSA.,2022-07-15
SA,Saudi Arabia,Post-Market,Competent Authority,CRO establishment licence,If the CRO is contracted by sponsor,2022-07-15
TH,Thailand,Pre-Market,Competent Authority,Cover Letter ,,2022-07-15
TH,Thailand,Pre-Market,Competent Authority,Checklists and Attached Documents for Application Import License of the product. ,Document name: Nor Yor Mor 1,2022-07-15
TH,Thailand,Pre-Market,Competent Authority,CIP,English or Thai,2022-07-15
TH,Thailand,Pre-Market,Competent Authority,Synopsis,Thai language,2022-07-15
TH,Thailand,Pre-Market,Competent Authority,IB (for not CE-mark MD),,2022-07-15
TH,Thailand,Pre-Market,Competent Authority,Patient information and ICF ,Thai language,2022-07-15
TH,Thailand,Pre-Market,Competent Authority,EC approval ,EC review must be submitted to the Thai FDA no later than 15 days after the authorized person receives this decision,2022-07-15
TH,Thailand,Pre-Market,Competent Authority,Power of attorney statement,"Foreign manufacturers have three possibilities to register their medical device in Thailand:
Set up a legal subsidiary entity
Appoint a local distributor
Appoint an independent third party",2022-07-15
TH,Thailand,Pre-Market,Competent Authority,"PI CV, GCP",,2022-07-15
TH,Thailand,Post-Market,Competent Authority,Cover Letter ,,2022-07-15
TH,Thailand,Post-Market,Competent Authority,Checklists and Attached Documents for Application Import License of the product. ,Document name: Nor Yor Mor 1,2022-07-15
TH,Thailand,Post-Market,Competent Authority,CIP,English or Thai,2022-07-15
TH,Thailand,Post-Market,Competent Authority,Synopsis,Thai language,2022-07-15
TH,Thailand,Post-Market,Competent Authority,IB (for not CE-mark MD),,2022-07-15
TH,Thailand,Post-Market,Competent Authority,Patient information and ICF ,Thai language,2022-07-15
TH,Thailand,Post-Market,Competent Authority,EC approval ,EC review must be submitted to the Thai FDA no later than 15 days after the authorized person receives this decision,2022-07-15
TH,Thailand,Post-Market,Competent Authority,Power of attorney statement,"Foreign manufacturers have three possibilities to register their medical device in Thailand:
Set up a legal subsidiary entity
Appoint a local distributor
Appoint an independent third party",2022-07-15
TH,Thailand,Post-Market,Competent Authority,"PI CV, GCP",,2022-07-15
VN,Viet Nam,Pre-Market,Competent Authority,Process same as EC,See EC submission for VN,2022-07-15
VN,Viet Nam,Post-Market,Competent Authority,Process same as EC,See EC submission for VN,2022-07-15
AE,United Arab Emirates,Pre-Market,Ethics Committee,Cover Letter on headed paper,Addressed by Principal Investigator to Dubai Scientific research Ethics Committee),2022-07-15
AE,United Arab Emirates,Pre-Market,Ethics Committee,Application form,Download from webpage,2022-07-15
AE,United Arab Emirates,Pre-Market,Ethics Committee,CIP & all curents admendments,,2022-07-15
AE,United Arab Emirates,Pre-Market,Ethics Committee,Synopsis ,in EN,2022-07-15
AE,United Arab Emirates,Pre-Market,Ethics Committee,CRF,,2022-07-15
AE,United Arab Emirates,Pre-Market,Ethics Committee,IB,,2022-07-15
AE,United Arab Emirates,Pre-Market,Ethics Committee,PI have to obtain HOD signature,If multicenter study,2022-07-15
