Code,Country,Study,Submission,Documents,Note,Version,Date
BY,Belarus,Pre-Market,Competent Authority,Register the device in the national system,Download form on webpgae. https://rceth.by/ru/Documents/Med/1 ,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Guide for researcher= IB,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Protocol & amendments ,Dated and signed,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,ICF in local language,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Subjects recruiment,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Documents on the financial aspect,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Proof of Insurance,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Agreement between the parties,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Permission to conduct a clinical trial,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,"PI & other staffs Cvs, GCPs",,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,IFU ,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Invoices (postal receipts) for the supply of the investigated medical device and medical equipment,,1.0,2022-04-29
BY,Belarus,Pre-Market,Competent Authority,Other documentations approve by the EC,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Register the device in the national system,Download form on webpgae. https://rceth.by/ru/Documents/Med/1 ,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Guide for researcher= IB,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Protocol & amendments ,Dated and signed,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,ICF in local language,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Subjects recruiment,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Documents on the financial aspect,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Proof of Insurance,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Agreement between the parties,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Permission to conduct a clinical trial,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,"PI & other staffs Cvs, GCPs",,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,IFU ,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Invoices (postal receipts) for the supply of the investigated medical device and medical equipment,,1.0,2022-04-29
BY,Belarus,Post-Market,Competent Authority,Other documentations approve by the EC,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,COVER LETTER,It should be clearly mentioned which Belgian regulatory pathway is applicable: Consolidated opinion FAMHP and EC ,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,List of documents submitted ,Template on website,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,APPLICATION FORM,Template on website,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,"CIP (with Annexes, version and date)",,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,Synopsis,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,INVESTIGATOR’S BROCHURE (With annexes),,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,Example of labels,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,LIST OF GENERAL SAFETY AND PERFORMANCE REQUIREMENTS,Template on website,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,MANUFACTURER’S IFU,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,CLINICAL EVALUATION PLAN,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,PROOF OF INSURANCE,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,"PI Cvs, GCPs, & DOI ",,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,SUITABILITY OF SITE(S),,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,Agreements between parties,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,RECRUITMENT AND ADVERTISING,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,"PATIENT INFO, ICF AND ICF PROCEDURE",,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,FINANCIAL AND OTHER ARRANGEMENTS,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,STATEMENT ON DATA PROTECTION,,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,"If multinational, status on submission procedure(s) in other countries, including any approval or refusal letter if applicable.",,1.0,2022-04-29
BE,Belgium,Pre-Market,Competent Authority,CE certificate and manufacturer’s instructions for use of any comparator device used,,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Cover Letter ,,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Medical device identification data on paper & electronic carrier,,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Clinical investigation plan (CIP),"Contain purpose, scientific, technical and medical reasons for conduction, scope, methodology and organization of investigation and number of devices",1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,"PI Cvs, GCPs",,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Centres list,Name & address ,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,IB,,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,ICF & Patient information,,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Declaration by the manufacturer whether the device to be tested can be defined as a device," according the Art. 3, pp. 2, 3 or 4 of MDL",1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Start and end date and schedule of investigation,,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Positive statement of Ethics Committee,submission to EC before,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,"Declaration, that medical device is in conformity with essential requirement",,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Proof of insurance,,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Contracts between parties,,1.0,2022-04-29
BG,Bulgaria,Pre-Market,Competent Authority,Receipt of payment,Medical device law,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Cover Letter ,,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Medical device identification data on paper & electronic carrier,,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Clinical investigation plan (CIP),"Contain purpose, scientific, technical and medical reasons for conduction, scope, methodology and organization of investigation and number of devices",1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,"PI Cvs, GCPs",,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Centres list,Name & address ,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,IB,,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,ICF & Patient information,,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Declaration by the manufacturer whether the device to be tested can be defined as a device," according the Art. 3, pp. 2, 3 or 4 of MDL",1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Start and end date and schedule of investigation,,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Positive statement of Ethics Committee,submission to EC before,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,"Declaration, that medical device is in conformity with essential requirement",,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Proof of insurance,,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Contracts between parties,,1.0,2022-04-29
BG,Bulgaria,Post-Market,Competent Authority,Receipt of payment,Medical device law,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Authorisation aplication form,Download online ,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Cover Letter,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,interim EC opinion,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Foreign Competent Authority decision,If aplicable,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,CIP,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,CRF,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,ICF & patient information sheet,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Compliance with ISO 14155,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Up to date IB,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,"IFU, if not integrated in IB",,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Matrix of general safety and performance requirements and list of applicable standards,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,"Confirmation that the documentation is being kept available in accordance with chapter III of Annex XV of the MDR for at least 10 years, 15 years in case of implants",,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Proof of insurance,,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Animal origin information ,If aplicable,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,MRI checklist,If aplicable,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Ionising radiation information,If aplicable,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Contract between Sponsor & manufacturer (if not the same one),,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,Trial center lists,Both in Switzerland and abroad,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,"PI CVs, GCPs; ",,1.0,2022-04-29
CH,Switzerland,Pre-Market,Competent Authority,"NOTE: the maximum file size should not exceed 200MB per PDF file. Larger files must be split. Documents formats: PDF, Excel & scanned documents. ",,1.0,2022-04-29
CH,Switzerland,Post-Market,Competent Authority,"NO NEED TO SUBMIT TO CA, EC ONLY. Category A clinical trials",,1.0,2022-04-29
CR,Costa Rica,Pre-Market,Competent Authority,Instruction,The data entered into the SEP Online database and the data submitted to the Agency in hard copy must be identical. See EC submission. ,1.0,2022-04-29
CR,Costa Rica,Post-Market,Competent Authority,Instruction,The data entered into the SEP Online database and the data submitted to the Agency in hard copy must be identical. See EC submission. ,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,Aplication form ,Download from webpage,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,A copy of the opinion of the Cyprus National Ethics Committee,,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,Data allowing identification of the device,"(i) Generic Name (ii) Model name (iii) Model Number (i.e. Label, Instruction for Use).",1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,A general description of the product  ,,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,CIP,,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,Criteria of patient selection,,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,Number of patient in clinical investigation,,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,"Design drawings and methods of manufacture envisaged, in particular as regards sterilization and diagrams of components, sub assemblies, circuits etc.",May not be submitted but must be available in case the CA wants.,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,The results of the risk analysis & GSPRs analysis,,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,The results of the design calculation and of the inspections and technical tests carried out ,,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,"Summary of the experience with any similar device manufactured, including length of time on the market and a review of performance related complaints ",,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,"Details of new or previously untested features of the device including where applicable, functions and principles of operation",,1.0,2022-04-29
CY,Cyprus,Pre-Market,Competent Authority,Image of the device ,,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,Aplication form ,Download from webpage,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,A copy of the opinion of the Cyprus National Ethics Committee,,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,Data allowing identification of the device,"(i) Generic Name (ii) Model name (iii) Model Number (i.e. Label, Instruction for Use).",1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,A general description of the product  ,,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,CIP,,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,Criteria of patient selection,,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,Number of patient in clinical investigation,,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,"Design drawings and methods of manufacture envisaged, in particular as regards sterilization and diagrams of components, sub assemblies, circuits etc.",May not be submitted but must be available in case the CA wants.,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,The results of the risk analysis & GSPRs analysis,,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,The results of the design calculation and of the inspections and technical tests carried out ,,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,"Summary of the experience with any similar device manufactured, including length of time on the market and a review of performance related complaints ",,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,"Details of new or previously untested features of the device including where applicable, functions and principles of operation",,1.0,2022-04-29
CY,Cyprus,Post-Market,Competent Authority,Image of the device ,,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,Investigator's Brochure IB,,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,CIP,,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,Approval of the EC,,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,ICF ,,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,Insurance information,,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,A declaration to the effect whether the medical device contains an active substance or a human blood or plasma derivative as its integral part (if aplicable),,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,A declaration to the effect whether the medical device has been manufactured using tissues of animal origin with a view to the minimisation of risk of transfer of TSE infection to man,,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,A declaration to the effect that the concerned medical device meets the basic requirements governing medical devices in conformity assessment,,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,Label of investigational medical device (in English or in Czech),,1.0,2022-04-29
CZ,Czech Republic,Pre-Market,Competent Authority,Extra information,The sponsors established outside the territory of the Czech Republic are highly recommended to consider cooperation with CROs established in the Czech Republic. Such cooperation might contribute to speeding up the processing of applications,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,Investigator's Brochure IB,,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,CIP,,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,Approval of the EC,,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,ICF ,,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,Insurance information,,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,A declaration to the effect whether the medical device contains an active substance or a human blood or plasma derivative as its integral part (if aplicable),,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,A declaration to the effect whether the medical device has been manufactured using tissues of animal origin with a view to the minimisation of risk of transfer of TSE infection to man,,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,A declaration to the effect that the concerned medical device meets the basic requirements governing medical devices in conformity assessment,,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,Label of investigational medical device (in English or in Czech),,1.0,2022-04-29
CZ,Czech Republic,Post-Market,Competent Authority,Extra information,The sponsors established outside the territory of the Czech Republic are highly recommended to consider cooperation with CROs established in the Czech Republic. Such cooperation might contribute to speeding up the processing of applications,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,SAME TO BOTH EC & CA,,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,“01.01 Cover letter”,,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,“01.02 Application form”,,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,“02.01 Investigator Brocure”,,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,“02.02 Instruction for use”,,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,“02.03 Checklist for fulfilment of general safety performance requirements”,,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,“03.01 Clinical investigation plan”,,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,Patient information(s) and informed consent form(s),“04.01 Subject information and consent form patients”                                                                           “04.02 Subject information and consent form legal representative”; 04.03 and so on ,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,Statement certifying that the device in question complies with the General safety and performance requirements,“05.01 Statement of compliance”,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,CE certificate ,“05.02 Declaration of conformity”,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,GDPR Data protection ,“06.01 sponsors statement on how to comply with GDPR”; 06.02… ,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,Extra information (See note),Send documents to both EC & CA. ,1.0,2022-04-29
DK,Denmark,Pre-Market,Competent Authority,REQUIRED FROM EC,SEE EC EXCEL ,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,SAME TO BOTH EC & CA,ONLY SEND IF THE MD IS INVASIVE OR BURDENSOME,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,“01.01 Cover letter”,,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,“01.02 Application form”,,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,“02.01 Investigator Brocure”,,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,“02.02 Instruction for use”,,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,“02.03 Checklist for fulfilment of general safety performance requirements”,,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,“03.01 Clinical investigation plan”,,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,Patient information(s) and informed consent form(s),“04.01 Subject information and consent form patients”                                                                           “04.02 Subject information and consent form legal representative”; 04.03 and so on ,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,Statement certifying that the device in question complies with the General safety and performance requirements,“05.01 Statement of compliance”,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,CE certificate ,“05.02 Declaration of conformity”,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,GDPR Data protection ,“06.01 sponsors statement on how to comply with GDPR”; 06.02… ,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,Extra information (See note),Send documents to both EC & CA. ,1.0,2022-04-29
DK,Denmark,Post-Market,Competent Authority,REQUIRED FROM EC,SEE EC EXCEL ,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,Cover Letter,,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,Aplication Form,,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,IB,,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,CIP ,"Version, dated and signed",1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,Statement from sponsor of fulfilling the GSPRs,,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,Opinion of the EC,,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,Proof of insurance,,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,ICF,,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,Data protection,,1.0,2022-04-29
DE,Germany,Pre-Market,Competent Authority,Technical documentatiins of the device,,1.0,2022-04-29
DE,Germany,Post-Market,Competent Authority,"Note: If the clinical investigation is with a CE-marked medical device, within its intended purpose, is not exposed to any additional invasive or burdensome procedure → EC ONLY.",Looking for the local EC for more informtion. ,1.0,2022-04-29
DE,Germany,Post-Market,Competent Authority,"Other cases: undergoing additional invasive or burdensome procedures, or use outside intended purpose → Full submission same as pre- market ",,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,MANDATORY,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Cover Letter,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Aplication Form ,Download from web,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,IB,Including annexes ,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,CIP,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,CEP,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Synopsis,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Statement of conformity,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Example of labels,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Description of the arrangements to comply with the applicable rules on the protection and confidentiality of personal data/ personal information,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,List of GSPRs ,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,AS APLICABLE,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Description of the arrangements to comply with the applicable rules on the protection and confidentiality of personal data/ personal information,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Risk management,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Test reports,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Proof of clinical Insurance,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Suitability of investigational sites and investigation site team,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Manufacturer's IFU,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,"PI CVs, GCPs",,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Recruitment procedures,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,ICF & related documentation,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Decisions from other countries,,1.0,2022-04-29
EE,Estonia,Pre-Market,Competent Authority,Receipt of state fee,"Beneficiary's name: Ministry of Finance
Account:
SEB Pank EE891010220034796011 (BIC / SWIFT: EEUHEE2X)
Swedbank EE932200221023778606 (BIC / SWIFT: HABAEE2X)
LHV Bank EE777700771003813400 (BIC / SWIFT: LHVBEE22)
Luminor Bank EE701700017001577198 (BIC / SWIFT: NDEAEE2X)

Reference number: 2900083031

 NB! The reference number is mandatory on bank transfer!",1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,MANDATORY,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Cover Letter,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Aplication Form ,Download from web,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,IB,Including annexes ,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,CIP,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,CEP,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Synopsis,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Statement of conformity,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Example of labels,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Description of the arrangements to comply with the applicable rules on the protection and confidentiality of personal data/ personal information,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,List of GSPRs ,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,AS APLICABLE,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Description of the arrangements to comply with the applicable rules on the protection and confidentiality of personal data/ personal information,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Risk management,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Test reports,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Proof of clinical Insurance,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Suitability of investigational sites and investigation site team,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Manufacturer's IFU,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,"PI CVs, GCPs",,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,Recruitment procedures,,1.0,2022-04-29
EE,Estonia,Post-Market,Competent Authority,ICF & related documentation,,1.0,2022-04-29
